symbol,full_name,sector,sub_industry,date_first_added,cik
MMM,3M Company,Industrials,Industrial Conglomerates,,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,2015-08-31,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,1916-05-03,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,,796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,,874761
AET,Aetna Inc,Health Care,Managed Health Care,1976-06-30,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,2014-07-01,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment,,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,2007-07-12,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,1916-05-13,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,1916-07-01,915913
AGN,Allergan plc,Health Care,Pharmaceuticals,,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,1916-07-01,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,2012-05-25,899866
ALLE,Allegion,Industrials,Building Products,2013-12-02,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,2013-12-23,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,2014-04-03,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1018724
AEE,Ameren Corp,Utilities,MultiUtilities,1991-09-19,1002910
AAL,American Airlines Group,Industrials,Airlines,2015-03-23,6201
AEP,American Electric Power,Utilities,Electric Utilities,,4904
AXP,American Express Co,Financials,Consumer Finance,1976-06-30,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,1980-03-31,5272
AMT,American Tower Corp A,Real Estate,Specialized REITs,2007-11-19,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,1916-03-04,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,,1140859
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,1992-01-02,318154
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,2008-09-30,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,,6281
ANTM,Anthem Inc.,Health Care,Managed Health Care,,1156039
AON,Aon plc,Financials,Insurance Brokers,,315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,,6769
AIV,Apartment Investment & Mgmt,Real Estate,REITs,,922864
AAPL,Apple Inc.,Information Technology,Computer Hardware,1982-11-30,320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1981-07-29,7084
ARNC,Arconic Inc,Industrials,Aerospace & Defense,1964-03-31,4281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1916-05-31,354190
AIZ,Assurant Inc,Financials,Multi-line Insurance,2007-04-10,1267238
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,1983-11-30,732717
ADSK,Autodesk Inc,Information Technology,Application Software,1989-12-01,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,1981-03-31,8670
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,,350698
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,,866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,2007-01-10,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,1987-12-31,8818
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,,808362
BLL,Ball Corp,Materials,Metal & Glass Containers,1984-10-31,9389
BAC,Bank of America Corp,Financials,Banks,1976-06-30,70858
BK,The Bank of New York Mellon Corp.,Financials,Banks,,1390777
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,1975-06-30,9892
BAX,Baxter International Inc.,Health Care,Health Care Equipment,1972-09-30,10456
BBT,BB&T Corporation,Financials,Banks,,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,10795
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,,886158
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,,764478
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,1364742
HRB,Block H&R,Financials,Consumer Finance,1986-11-30,12659
BA,Boeing Company,Industrials,Aerospace & Defense,,12927
